quarter,actual,pred,pred_prob,outcome,precipitation,temperature,relative_humidity,wind_direction,wind_speed
1,0,0,0.1823864749346138,TN,0.0662571229546797,-5.250741447615164,78.78955990132539,183.75088977111085,5.407459734930355
2,0,1,0.7347212791886605,FP,0.1033806634682861,8.40567689394783,68.16208171092669,187.91443501353143,6.195168343550913
3,465,1,0.8764708191051244,TP,0.0103589808079244,15.43906863270352,50.03285020775541,202.4234985851996,7.040216397001337
4,0,1,0.6583336173964871,FP,0.0543752062928345,-2.3068271435268937,85.33628256863236,178.3470281515589,5.544696260765442
5,0,0,0.199732866208938,TN,0.0716890871863535,-3.9158296283686806,84.96935929860298,187.6007376074416,4.382127670125588
6,0,0,0.2421623740711496,TN,0.0740771204843061,9.174294147781918,65.81113750335054,196.25009015308927,1.6295252064319858
7,1,1,0.8665452633436966,TP,0.0456959706959706,13.592445054945054,61.66529304029305,208.3736263736264,2.672939560439561
8,0,0,0.1658571336338861,TN,0.0647782065205529,-0.7965433629790521,87.49373272265711,188.41356925726143,0.3745450785773367
9,0,0,0.1704590405152178,TN,0.0420915863679956,-5.2890922469518165,78.0755126944736,198.2049526890537,3.4643240644499453
10,0,1,0.856507714089798,FP,0.0782478632478632,8.847832748204318,65.3551035946804,198.2782345046935,5.590447781382181
11,0,1,0.8811893509056319,FP,0.0890948859475661,13.162770090601471,70.4130846587759,187.46150002101564,4.802297325226614
12,0,0,0.1643666442052373,TN,0.0471175901034157,-1.6502646394474885,83.35005152104374,173.7960129908677,4.466765165577001
13,0,0,0.1664600504097379,TN,0.0679164542462832,-3.803282854486217,78.95481785437279,190.6204478736281,5.195713539823736
14,0,1,0.5041499674312084,FP,0.1160297966228274,7.362436912881505,68.55727374193755,189.88269304103292,5.409297270017096
15,0,1,0.8516489073763259,FP,0.0370415701308593,14.11471091907105,62.25209150089507,191.204248515602,4.871135774192794
16,0,0,0.1648124119338466,TN,0.0708068739327023,-0.8866637284661252,85.9696421227426,176.43149098854337,4.358944383442419
17,0,0,0.2967536789144727,TN,0.0504525240529136,-3.6495323896097647,75.15969239860013,184.9861826723886,5.278475889476178
18,2403,1,0.829555228309219,TP,0.0406316149876973,9.468205670633075,60.21486628996679,196.117532983108,5.788255655881773
19,0,1,0.375338954762678,FP,0.0421151945233901,14.650852779173787,61.230584292580176,190.94450309808508,5.153475720405416
20,6,1,0.6854226265419143,TP,0.0689602301695189,-2.6883735549023178,87.34168381001572,176.70941503581273,4.916055475793142
21,0,0,0.2063591799112394,TN,0.0582170873881489,-3.096737865410109,80.41231344014076,186.88805774909252,5.073720670620025
22,0,0,0.2685019931212031,TN,0.0459952218537321,4.421207413199629,62.43878306587241,182.3362080929853,6.074407056017478
23,0,1,0.8467681378253047,FP,0.0763616370451205,15.826375596687049,63.796474334821774,198.6489079863972,4.734437759782261
24,0,0,0.1775960222618287,TN,0.035066473839864,-3.266978811983284,83.14589605496319,189.6702867303308,4.321258002110712
